question,answers,correct_answer,explanation,explanationImageHtml,id,clean_explanation
Mountain waves should be expected..,"[{'id': 1, 'answer': 'directly over the mountain range.'}, {'id': 2, 'answer': 'on the downwind side of the mountain range.'}, {'id': 3, 'answer': 'on the upwind side of the mountain range.'}, {'id': 4, 'answer': 'when instability is high.'}]",on the downwind side of the mountain range.,"Refer to figure.
MOUNTAIN/LEE WAVES
develop on the lee, or downwind, side of mountains;
as well as most of the associated phenomena.
These waves are generated when:
Wind direction: generally perpendicular (+/-30º) fashion, raised up over the mountains. And no significant change in direction with altitude.
Wind speed: strong.
At least 20 kt, increasing with altitude, at the summits.
Marked layer of stability/strong inversion around altitude of summits – which will work as a barrier over the mountains.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer28976""> <a href=""/ImageViewer/index?image=9F0D78BC-D03E-4ADD-870C-A6B05D2A52E9&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/9F0D78BC-D03E-4ADD-870C-A6B05D2A52E9"" alt=""thumb_606_509230.png"" /> </a> </div></div>",72880,".
MOUNTAIN/LEE WAVES
develop on the lee, or downwind, side of mountains;
as well as most of the associated phenomena.
These waves are generated when:
Wind direction: generally perpendicular (+/-30º) fashion, raised up over the mountains. And no significant change in direction with altitude.
Wind speed: strong.
At least 20 kt, increasing with altitude, at the summits.
Marked layer of stability/strong inversion around altitude of summits – which will work as a barrier over the mountains."
Which cloud poses the highest risk to aviation safety during a cold front?,"[{'id': 1, 'answer': 'Cumulus fractus.'}, {'id': 2, 'answer': 'Cumulonimbus.'}, {'id': 3, 'answer': 'Nimbostratus.'}, {'id': 4, 'answer': 'Stratus.'}]",Cumulonimbus.,"Refer to figure.
When cold air displaces warm air, it creates a
cold front
. On synoptic charts, cold fronts are represented by blue triangles.
Clouds
: In contrast to warm fronts, cold fronts often bring about a rapid development of clouds, typically occurring 50-100 km ahead of the surface position of the front. These clouds include AC (Altocumulus) and CC (Cirrocumulus) clouds, followed by a sudden appearance of CU (Cumulus) and CB (
Cumulonimbus
) clouds. These cloud formations are often associated with moderate to severe turbulence.
Precipitation
: Showers of rain, which can be heavy at times, are generated by CU and CB clouds along the cold front. Depending on the intensity and season, these showers can manifest as rain, snow, or hail, and there is also the possibility of thunderstorms forming.
Visibility
: Showery precipitation along the cold front typically leads to a reduction in visibility, which can be significant during heavy precipitation and snowfall. However, once the front passes, visibility improves considerably as the falling precipitation helps cleanse the air, removing impurities.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer55261""> <a href=""/ImageViewer/index?image=fc4d4e5a-2293-4e6d-9244-e712c191ab82&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/fc4d4e5a-2293-4e6d-9244-e712c191ab82"" alt=""thumb_202306111906_163_503330.png"" /> </a> </div></div>",96266,".
When cold air displaces warm air, it creates a
cold front
. On synoptic charts, cold fronts are represented by blue triangles.
Clouds
: In contrast to warm fronts, cold fronts often bring about a rapid development of clouds, typically occurring 50-100 km ahead of the surface position of the front. These clouds include AC (Altocumulus) and CC (Cirrocumulus) clouds, followed by a sudden appearance of CU (Cumulus) and CB (
Cumulonimbus
) clouds. These cloud formations are often associated with moderate to severe turbulence.
Precipitation
: Showers of rain, which can be heavy at times, are generated by CU and CB clouds along the cold front. Depending on the intensity and season, these showers can manifest as rain, snow, or hail, and there is also the possibility of thunderstorms forming.
Visibility
: Showery precipitation along the cold front typically leads to a reduction in visibility, which can be significant during heavy precipitation and snowfall. However, once the front passes, visibility improves considerably as the falling precipitation helps cleanse the air, removing impurities."
"According to ICAO Annex 3 definition, ""visibility"" is the greater of:1. The greatest distance at which a black object of suitable dimensions can be seen and recognized when observed against a bright background.  2. The greatest distance at which lights in the vicinity of 10 000 candelas can be seen and identified against an unlit background.","[{'id': 1, 'answer': '1 is correct, 2 is correct.'}, {'id': 2, 'answer': '1 is correct, 2 is incorrect.'}, {'id': 3, 'answer': '1 is incorrect, 2 is correct.'}, {'id': 4, 'answer': '1 is incorrect, 2 is incorrect.'}]","1 is correct, 2 is incorrect.","In effect,
visibility
is a measure of atmospheric clarity or obscurity.
ICAO Annex 3 - Chapter 1
Visibility. Visibility for aeronautical purposes is the greater of:
a) the greatest distance at which a black object of suitable dimensions, situated near the ground, can be seen and recognized when observed against a bright background;
b) the greatest distance at which lights in the vicinity of
1 000
candelas can be seen and identified against an unlit background.",,96218,"In effect,
visibility
is a measure of atmospheric clarity or obscurity.
ICAO Annex 3 - Chapter 1
Visibility. Visibility for aeronautical purposes is the greater of:
a) the greatest distance at which a black object of suitable dimensions, situated near the ground, can be seen and recognized when observed against a bright background;
b) the greatest distance at which lights in the vicinity of
1 000
candelas can be seen and identified against an unlit background."
"An aerodrome on the coast (Faro, Portugal) reported the following METAR:
LPFR 070650Z 26010KT 0100FG VV/// 05/05 Q1006
What change is likely, on its own, to produce an improvement in visibility above the limits stated for fog?","[{'id': 1, 'answer': 'Humidity reducing because drizzle falls.'}, {'id': 2, 'answer': 'A cold front crossing the area.'}, {'id': 3, 'answer': 'A reduction in gradient wind.'}, {'id': 4, 'answer': 'Calm wind.'}]",A cold front crossing the area.,"Refer to figure.
Note: This question has two correct answers, both ""Diurnal solar heating"" and ""A cold front crossing the area"" would dissipate the radiation fog in the METAR.
Early feedback and knowledge leaned on the side of ""Diurnal solar heating""
, but
most recent feedback shows the cold front to be the correct answer
. See the comments for the most recent feedback.
UPDATE:
The Hungarian CAA have approved an appeal based on this question
(which said that two correct answers were present), stating, ""The cold front is the right option, because clearance occurs with a change of air mass, or less commonly with an increase in surface wind. The term ""on its own” means the weather phenomena associated with cold front. Of course not the definition of cold front will improve the visibility, but the phenomena. Hovewer diurnal solar heating can also be a correct answer.""
We think that the cold front and diurnal solar heating are both perfectly correct, so we hope that they have removed this question from the database now.
If this comes up in an exam, you may appeal it, quoting the Hungarian CAA above if necessary.
RADIATION FOG. Caused by radiation of the earth’s heat at night, and the conductive cooling below dew point of the air in contact with the ground, in conditions of calm or very light wind and clear skies. Radiation fog occurs at night and early morning and usually does not last too long after sunrise, but can stay into the afternoon in certain conditions. Predominantly autumn and winter.
CONDITIONS LEADING TO DISSIPATION OF RADIATION FOG
INSOLATION
- causing convection which will lift the fog. It will also help to evaporate the lower layers.
STRONG WIND – (stronger than 8kt) lifting the fog to form stratus cloud.
CHANGE OF AIR MASS
- This is less common, but of course, if a different air mass moves into an area with radiation fog, the new air mass will have different qualities to the old air mass. For example, in this question, the movement of a cold front would mean that
the new air is not the same air than cooled overnight close to the ground, and so the radiation fog will dissipate
. This is particularly rare though, as a new air mass means that some wind is blowing, which would usually stop radiation fog from forming in the first place. Nonetheless, this stronger wind is another reason that the cold front would dissipate the fog.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer42002""> <a href=""/ImageViewer/index?image=91F54805-C347-4673-9F09-725761EDF40E&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/91F54805-C347-4673-9F09-725761EDF40E"" alt=""thumb_163_961_507338.png"" /> </a> </div></div>",80606,".
Note: This question has two correct answers, both ""Diurnal solar heating"" and ""A cold front crossing the area"" would dissipate the radiation fog in the METAR.
Early feedback and knowledge leaned on the side of ""Diurnal solar heating""
, but
most recent feedback shows the cold front to be the correct answer
. See the comments for the most recent feedback.
UPDATE:
The Hungarian CAA have approved an appeal based on this question
(which said that two correct answers were present), stating, ""The cold front is the right option, because clearance occurs with a change of air mass, or less commonly with an increase in surface wind. The term ""on its own” means the weather phenomena associated with cold front. Of course not the definition of cold front will improve the visibility, but the phenomena. Hovewer diurnal solar heating can also be a correct answer.""
We think that the cold front and diurnal solar heating are both perfectly correct, so we hope that they have removed this question from the database now.
If this comes up in an exam, you may appeal it, quoting the Hungarian CAA above if necessary.
RADIATION FOG. Caused by radiation of the earth’s heat at night, and the conductive cooling below dew point of the air in contact with the ground, in conditions of calm or very light wind and clear skies. Radiation fog occurs at night and early morning and usually does not last too long after sunrise, but can stay into the afternoon in certain conditions. Predominantly autumn and winter.
CONDITIONS LEADING TO DISSIPATION OF RADIATION FOG
INSOLATION
- causing convection which will lift the fog. It will also help to evaporate the lower layers.
STRONG WIND – (stronger than 8kt) lifting the fog to form stratus cloud.
CHANGE OF AIR MASS
- This is less common, but of course, if a different air mass moves into an area with radiation fog, the new air mass will have different qualities to the old air mass. For example, in this question, the movement of a cold front would mean that
the new air is not the same air than cooled overnight close to the ground, and so the radiation fog will dissipate
. This is particularly rare though, as a new air mass means that some wind is blowing, which would usually stop radiation fog from forming in the first place. Nonetheless, this stronger wind is another reason that the cold front would dissipate the fog."
Which of the following statements concerning an isothermal layer in the atmosphere is correct?,"[{'id': 1, 'answer': 'Air parcels that are forced to rise through an isothermal layer keep the same temperature.'}, {'id': 2, 'answer': 'An isothermal layer is absolutely stable.'}, {'id': 3, 'answer': 'An isothermal layer is formed when the air in the layer is well mixed by turbulence.'}, {'id': 4, 'answer': 'The vertical temperature gradient lies between the dry and saturated adiabatic lapse rates.'}]",An isothermal layer is absolutely stable.,"An isothermal layer is defined as a vertical column of air having a constant temperature with height.
Isothermal layers often occur in the low levels of the troposphere during a differential advection situation.
The air within an isothermal layer is stable.To cause air in an isothermal layer to rise it must be forced lifted since it will not rise on its own.
Stability of the atmosphere can be defined using the relationship of ELR (Environmental Lapse Rate), DALR (Dry Adiabatic Lapse Rate) and SALR (Saturated Adiabatic Lapse Rate):
Absolute stability:
ELR is less than SALR => ELR is less than 1.8°C per 1 000 ft (0.6°C per 100 m). Relationship is: ELR < SALR < DALR.
Absolute instability:
ELR is greater than DALR => ELR is greater than 3°C per 1 000 ft (1°C per 100 m). Relationship is: SALR < DALR < ELR.
Conditional instability:
ELR is between 1.8°C and 3°C per 1 000 ft. Relationship is: SALR < ELR < DALR.
Because in an isothermal layer the temperature does not change with altitude, the ELR is 0 and thus less than the SALR.That is why an isothermal layer is absolutely stable.",,72780,"An isothermal layer is defined as a vertical column of air having a constant temperature with height.
Isothermal layers often occur in the low levels of the troposphere during a differential advection situation.
The air within an isothermal layer is stable.To cause air in an isothermal layer to rise it must be forced lifted since it will not rise on its own.
Stability of the atmosphere can be defined using the relationship of ELR (Environmental Lapse Rate), DALR (Dry Adiabatic Lapse Rate) and SALR (Saturated Adiabatic Lapse Rate):
Absolute stability:
ELR is less than SALR => ELR is less than 1.8°C per 1 000 ft (0.6°C per 100 m). Relationship is: ELR < SALR < DALR.
Absolute instability:
ELR is greater than DALR => ELR is greater than 3°C per 1 000 ft (1°C per 100 m). Relationship is: SALR < DALR < ELR.
Conditional instability:
ELR is between 1.8°C and 3°C per 1 000 ft. Relationship is: SALR < ELR < DALR.
Because in an isothermal layer the temperature does not change with altitude, the ELR is 0 and thus less than the SALR.That is why an isothermal layer is absolutely stable."
In a low pressure system the convergence at the surface is caused by:,"[{'id': 1, 'answer': 'frictional forces.'}, {'id': 2, 'answer': 'centrifugal force.'}, {'id': 3, 'answer': 'the curvature of the isobars.'}, {'id': 4, 'answer': 'the inbalance of the horizontal gradient force and the Coriolis force.'}]",frictional forces.,"Refer to figure.
Winds below 2000ft (Friction Layer) are affected by friction –
frictional forces can act to change wind’s direction
and slow it down. Coriolis force will be decreased, the PGF is now more dominant. This causes a change in wind direction – wind blows somewhat across the isobars
towards the low pressure.
As we move higher, surface friction has less effect on the wind until the wind is indeed Geostrophic- and blows parallel to isobars.
=> Frictional forces cause the wind to convergence at the surface around a LOW and diverge around HIGH.
Rotation of air (winds) around a LOW is:
Northern Hemisphere =
inward
and anti-clockwise,
Southern Hemisphere =
inward
and clockwise.
Rotation of air (winds) around a HIGH is:
Northern Hemisphere = outward from centre and clockwise,
Southern Hemisphere = outward from centre and anti-clockwise.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29216""> <a href=""/ImageViewer/index?image=627C8CAF-F5DE-409C-8935-A1410550F2FA&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/627C8CAF-F5DE-409C-8935-A1410550F2FA"" alt=""thumb_850_506582.PNG"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer29968""> <a href=""/ImageViewer/index?image=0810F3AC-A32A-4D42-969D-C23A356E1B4C&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/0810F3AC-A32A-4D42-969D-C23A356E1B4C"" alt=""thumb_932_506582.png"" /> </a> </div></div>",73154,".
Winds below 2000ft (Friction Layer) are affected by friction –
frictional forces can act to change wind’s direction
and slow it down. Coriolis force will be decreased, the PGF is now more dominant. This causes a change in wind direction – wind blows somewhat across the isobars
towards the low pressure.
As we move higher, surface friction has less effect on the wind until the wind is indeed Geostrophic- and blows parallel to isobars.
=> Frictional forces cause the wind to convergence at the surface around a LOW and diverge around HIGH.
Rotation of air (winds) around a LOW is:
Northern Hemisphere =
inward
and anti-clockwise,
Southern Hemisphere =
inward
and clockwise.
Rotation of air (winds) around a HIGH is:
Northern Hemisphere = outward from centre and clockwise,
Southern Hemisphere = outward from centre and anti-clockwise."
"During the cruise at FL270, on a northerly heading from Paris to London, there is a strong crosswind from the right. Which of the following statements is correct regarding the aircraft's altitude?","[{'id': 1, 'answer': 'True altitude is increasing.'}, {'id': 2, 'answer': 'True altitude is decreasing.'}, {'id': 3, 'answer': 'True altitude remains constant.'}, {'id': 4, 'answer': 'A right drift.'}]",True altitude is increasing.,"Refer to figure.
Northern Hemisphere:
High pressure areas (anticyclones) turn in a clockwise direction.
Low pressure areas (cyclones) turn in an anti-clockwise direction.
=> If you stand with your back into the wind, the low-pressure area is on your left-hand side.
Southern Hemisphere is the other way around
.
We know the following about pressure and temperature:
When an aircraft is in a lower pressure area, the altimeter will overread.
The aircrafts true altitude will be lower than indicated.
When an aircraft is in a higher-pressure area, the altimeter will under read.
The aircrafts true altitude will be higher than indicated.
When an aircraft is in a colder airmass than ISA, the altimeter will overread.
The aircrafts true altitude will be lower than indicated.
When an aircraft is in a warmer airmass than ISA, the altimeter will under read.
The aircrafts true altitude will be higher than indicated.
With regards to this question:
The question states that we are flying in the Northern Hemisphere (Paris to London) and wind is coming from the right.
If we imagine ourselves standing with our back into the wind, we will now have the low-pressure area to our left (where we are coming from) and the high-pressure area on our right (where we are flying to).
So, we will be flying towards a higher-pressure area and, consequently, the altimeter will under read.
The aircraft's true altitude will be increasing flying to the higher-pressure area.
Note: The direction of travel does not matter. Independant of travel direction, you will be flying towards the HIGH.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer40674""> <a href=""/ImageViewer/index?image=84ADB7C3-5F6F-46CA-862E-1C7723A6592D&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/84ADB7C3-5F6F-46CA-862E-1C7723A6592D"" alt=""thumb_427_507922.png"" /> </a> </div></div>",78591,".
Northern Hemisphere:
High pressure areas (anticyclones) turn in a clockwise direction.
Low pressure areas (cyclones) turn in an anti-clockwise direction.
=> If you stand with your back into the wind, the low-pressure area is on your left-hand side.
Southern Hemisphere is the other way around
.
We know the following about pressure and temperature:
When an aircraft is in a lower pressure area, the altimeter will overread.
The aircrafts true altitude will be lower than indicated.
When an aircraft is in a higher-pressure area, the altimeter will under read.
The aircrafts true altitude will be higher than indicated.
When an aircraft is in a colder airmass than ISA, the altimeter will overread.
The aircrafts true altitude will be lower than indicated.
When an aircraft is in a warmer airmass than ISA, the altimeter will under read.
The aircrafts true altitude will be higher than indicated.
With regards to this question:
The question states that we are flying in the Northern Hemisphere (Paris to London) and wind is coming from the right.
If we imagine ourselves standing with our back into the wind, we will now have the low-pressure area to our left (where we are coming from) and the high-pressure area on our right (where we are flying to).
So, we will be flying towards a higher-pressure area and, consequently, the altimeter will under read.
The aircraft's true altitude will be increasing flying to the higher-pressure area.
Note: The direction of travel does not matter. Independant of travel direction, you will be flying towards the HIGH."
During Foehn from south the air temperature is generally..,"[{'id': 1, 'answer': 'the same on both sides of the Alps at the same altitude.'}, {'id': 2, 'answer': 'higher south of the Alps than north of the Alps at the same altitude.'}, {'id': 3, 'answer': 'higher north of the Alps than south of the Alps at the same altitude.'}, {'id': 4, 'answer': 'lower north of the Alps than south of the Alps at the same altitude.'}]",higher north of the Alps than south of the Alps at the same altitude.,"Refer to figure.
FOEHN EFFECT
Foehn winds are warm and dry, gusty winds that periodically descends the leeward slopes of nearly all mountains and mountain ranges (warm katabatic wind). This is a change from wet and cold conditions one side of a mountain, to warmer and drier conditions on the other (leeward) side.
- How does it form?
When air is forced upwards over elevated terrain, it expands and cools adiabatically (at the DALR) until it saturates. After saturation, it will continue to cool at the SALR. Since colder air can hold less water vapour, moisture condenses to form clouds and precipitates as rain/snow above the mountain’s upwind slopes. By the time it reaches the peak and stops climbing, the air is quite dry.
As the air makes its leeward descent, it is compressed and warms rapidly all the way downslope
– because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.
On the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.
With regards to this question
, with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.
The north side is the leeward/downwind side, where air descends and becomes drier and warmer.
Therefore, temperature is higher north of the Alps than south of the Alps at the same altitude.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31752""> <a href=""/ImageViewer/index?image=051B19CC-DFBF-4DAF-B141-BD692927CBB2&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/051B19CC-DFBF-4DAF-B141-BD692927CBB2"" alt=""thumb_525_Foehn_EFFECT.png"" /> </a> </div></div>",73369,".
FOEHN EFFECT
Foehn winds are warm and dry, gusty winds that periodically descends the leeward slopes of nearly all mountains and mountain ranges (warm katabatic wind). This is a change from wet and cold conditions one side of a mountain, to warmer and drier conditions on the other (leeward) side.
- How does it form?
When air is forced upwards over elevated terrain, it expands and cools adiabatically (at the DALR) until it saturates. After saturation, it will continue to cool at the SALR. Since colder air can hold less water vapour, moisture condenses to form clouds and precipitates as rain/snow above the mountain’s upwind slopes. By the time it reaches the peak and stops climbing, the air is quite dry.
As the air makes its leeward descent, it is compressed and warms rapidly all the way downslope
– because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.
On the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.
With regards to this question
, with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.
The north side is the leeward/downwind side, where air descends and becomes drier and warmer.
Therefore, temperature is higher north of the Alps than south of the Alps at the same altitude."
"You have two pressure systems. System A is a high pressure, system B is a low pressure. What happens to TA when you go from B to A?","[{'id': 1, 'answer': 'It increases.'}, {'id': 2, 'answer': 'It decreases.'}, {'id': 3, 'answer': 'It remains constant.'}, {'id': 4, 'answer': 'It initially decreases and then increases.'}]",It increases.,"Refer to figure.
If we take a look at the attached figure, we can see that when going from an area of low pressure to an area of high pressure our aircraft will be higher than what it indicates, if we do not change the sub-scale setting on our altimeter. This happens because as the area pressure increases you try and keep the plane reading the required altitude (in this case 5000 ft) and, therefore, willingly climb. So to keep your plane at the correct altitude above the ground you would have to change the sub-scale to the higher setting, in this case from 1016 hPa to 1018 hPa.
Flying from Low to High
, the altimeter will indicate lower than the actual altitude above sea level.
The aircraft’s altitude will slowly increase
while the altimeter remains constant; therefore, the ALTIMETER is indicating a LOWER altitude then what the aircraft is actually flying.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer54918""> <a href=""/ImageViewer/index?image=0233dc9f-c5bf-40c5-be7d-e0b2f2d1738b&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/0233dc9f-c5bf-40c5-be7d-e0b2f2d1738b"" alt=""thumb_202305221228_050-76.jpg"" /> </a> </div></div>",66441,".
If we take a look at the attached figure, we can see that when going from an area of low pressure to an area of high pressure our aircraft will be higher than what it indicates, if we do not change the sub-scale setting on our altimeter. This happens because as the area pressure increases you try and keep the plane reading the required altitude (in this case 5000 ft) and, therefore, willingly climb. So to keep your plane at the correct altitude above the ground you would have to change the sub-scale to the higher setting, in this case from 1016 hPa to 1018 hPa.
Flying from Low to High
, the altimeter will indicate lower than the actual altitude above sea level.
The aircraft’s altitude will slowly increase
while the altimeter remains constant; therefore, the ALTIMETER is indicating a LOWER altitude then what the aircraft is actually flying."
What is a Polar Depression?,"[{'id': 1, 'answer': 'Large depression over the sea with clear weather'}, {'id': 2, 'answer': 'Large depression over the south pole with wintery shower precipitation'}, {'id': 3, 'answer': 'Small depression over the sea with wintery showery precipitation.'}, {'id': 4, 'answer': 'Small depression over the north pole with wintery shower precipitation'}]",Small depression over the sea with wintery showery precipitation.,"Refer to figure.
This question refers to a Polar Low:
Polar lows are defined as small but intense maritime
meso-scale cyclones that form in cold polar or arctic air advected over relatively warmer water. Polar lows are much smaller and more transient than a regular mid-latitude depression. Their scale varies between 100 to 500 km and typically they last for anything between 12 to 36 hours.
Like their tropical cousins Polar lows tend to decay rapidly with landfall, mostly due to the lack of warm moisture supply from the relatively warm sea.
During its life-cycle, they are known to produce severe weather, heavy precipitation - usually falling as snow, and strong surface winds.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer37616""> <a href=""/ImageViewer/index?image=51D832C1-047B-463C-95CC-5A312DFC92AE&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/51D832C1-047B-463C-95CC-5A312DFC92AE"" alt=""thumb_759_859_Screenshot 2020-09-24 at 23.03.50.png"" /> </a> </div></div>",66355,".
This question refers to a Polar Low:
Polar lows are defined as small but intense maritime
meso-scale cyclones that form in cold polar or arctic air advected over relatively warmer water. Polar lows are much smaller and more transient than a regular mid-latitude depression. Their scale varies between 100 to 500 km and typically they last for anything between 12 to 36 hours.
Like their tropical cousins Polar lows tend to decay rapidly with landfall, mostly due to the lack of warm moisture supply from the relatively warm sea.
During its life-cycle, they are known to produce severe weather, heavy precipitation - usually falling as snow, and strong surface winds."
