,predicted_answer,groundtruth,matches?,options,sources,questions,result_id_groundtruth,result_id_prediction,matches_ids
0,valley inversion.,Valley inversion.,1,"[{'id': 1, 'answer': 'Valley inversion.'}, {'id': 2, 'answer': 'Advection fog.'}, {'id': 3, 'answer': 'Mountain obstruction.'}, {'id': 4, 'answer': 'Valley winds.'}]","[Document(page_content='In valleys, inversions are also called cold-air pools and form as a result of both cooling of the ground due to long-wave radiation and nocturnal down-slope winds (Katabatic winds).'), Document(page_content='.\nLearning Objective 050.09.08.03.0: Describe the formation of a valley inversion due to katabatic winds.\nA katabatic wind is what happens when the face of a mountain cools down, and then cools the air in contact with it.\nThe colder air wants to sink\n, and creates a wind that flows down the mountainside into the valley below (if one exists). Very simply,\nthis cold katabatic wind gathers in the bottom of a valley, creating what is called a valley inversion\n, where'), Document(page_content='turbulence.\nNote: The learning objectives do not give this a specific name, and just refer to it as a valley inversion. There is another type of weather phenomenon called a cold-air drop, which is cold air high up in the atmosphere.'), Document(page_content='"" explained:\nA Valley Inversion forms as a result of both cooling of the ground during a clear night (\ntypical High Pressure weather conditions.)\ndue to long-wave radiation and nocturnal down-slope winds.\nThe temperature of the upper parts of the valleys in mountainous areas becomes exceedingly low during winter nights because of radid loss of heat from the surface through terrestrial radiation.'), Document(page_content='Consequently, the colder and heavier air of the upper part of the valley descends along the mountain slopes. The temperature of the valley floor does not fall considerably because of comparatively low rate of loss of heat aloft and hence this warmer and lighter air of the valley floor is pushed upwards by the cold downslope winds.\nThus, there is warm air aloft and cold air in the valley floor and a temperature inversion is formed.\n=>')]",,1,1.0,True
1,increases exponentially.,Increases exponentially.,1,"[{'id': 1, 'answer': 'Increases linearly between 10°C and 30°C.'}, {'id': 2, 'answer': 'Increases exponentially.'}, {'id': 3, 'answer': 'Increases up to 30°C.'}, {'id': 4, 'answer': 'Doubles every 5°C.'}]","[Document(page_content='INCORRECT\n. Raising the air temperature does not directly cause the air to become saturated. However, it is an essential factor in determining the air\'s capacity to hold water vapour. Warm air can accommodate more water vapour than cold air. As the temperature increases, the air can hold more moisture, thus reducing relative humidity - making saturation less likely.\nd) ""Decreasing the amount of water vapour in the air"":\nINCORRECT'), Document(page_content='water vapour decreases.'), Document(page_content='water vapour decreases.'), Document(page_content='b) ""Increasing the amount of water vapor in the air"": This is the\nCORRECT\nanswer. When more water vapour is introduced into the air, it increases the humidity level. As the air accumulates water vapour, it approaches its saturation point. Once the air reaches this saturation point, further additions of water vapour will lead to condensation, forming clouds or precipitation.\nc) ""Increasing the temperature of the air"":\nINCORRECT'), Document(page_content='INCORRECT\n. Lowering the amount of water vapour in the air reduces the humidity level, making saturation less likely. The air becomes drier, it does not cause the air to become saturated.\nAIR BECOMES SATURATED:\nBy adding more water vapour to it.\nAs warm air can hold more water vapour than cold, saturation can be achieved by cooling\nthe air (adiabatic cooling = adiabatic expansion = lifting the parcel to a higher level).\nCombination of both of the above.')]",,2,2.0,True
2,horizontal pressure difference.,Horizontal pressure difference.,1,"[{'id': 1, 'answer': 'Earth rotation.'}, {'id': 2, 'answer': 'Horizontal pressure difference.'}, {'id': 3, 'answer': 'Surface friction.'}, {'id': 4, 'answer': 'Mixing of fronts.'}]","[Document(page_content='sloping surface.\nWhilst fronts are normally associated with \nconvergence and ascending air, giving much \ncloud and bad weather, it is possible for air \nmasses to flow side by side with little \ninteraction.  \nThe  factors concerned are:\na)  Equilibrium . The Pressure Gradient \nForce (PGF) is towards the front from \nboth the cold and the warm side then \nunder these  conditions the wind would \nbe geostrophic, blowing parallel to the \nfront.   The frontal surfaces would be \nin equilibrium with no tendency for', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 313}), Document(page_content='.\nA STATIONARY front forms when a cold front or warm front stops moving. This happens when two masses of air are pushing against each other but neither is powerful enough to move the other.\nThe situation can be described winds blowing parallel to the front instead of perpendicular can help it stay in place.'), Document(page_content='.\nA STATIONARY front forms when a cold front or warm front stops moving. This happens when two masses of air are pushing against each other but neither is powerful enough to move the other.\nThe situation can be described winds blowing parallel to the front instead of perpendicular can help it stay in place.'), Document(page_content='Wind 150º/12 kt and 060º/25kt => measured at approximately the same altitude (using anemometers) and different locations. Change of wind speed and direction occured in the horizontal plane - We are experiencing\nHorizontal Windshear:\nchange in speed and/or direction in the horizontal plane, measured in knots per 1000 feet.\n- This could be a result of a strong downdraft, referred to as a downburst or microburst, which hit the surface, causing the wind to divert horizontally outwards => originating windshear'), Document(page_content='interaction.  \nThe  factors concerned are:\na)  Equilibrium . The Pressure Gradient \nForce (PGF) is towards the front from \nboth the cold and the warm side then \nunder these  conditions the wind would \nbe geostrophic, blowing parallel to the \nfront.   The frontal surfaces would be \nin equilibrium with no tendency for \nthe cold air to undercut the warm.\n  Figure 17.11  shows the equilibrium \nstate where the polar front is parallel \nto the isobars with the geostrophic \nwinds being parallel to the front.  In', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 314})]",,2,2.0,True
3,11 to 50 km.,11 to 50 km.,1,"[{'id': 1, 'answer': '50 to 85 km.'}, {'id': 2, 'answer': '0 to 11 km.'}, {'id': 3, 'answer': '11 to 50 km.'}, {'id': 4, 'answer': '85 to more than 200 km.'}]","[Document(page_content=': The altitude where the stratosphere begins can differ.\nThe height of the bottom of the stratosphere varies with latitude and with the seasons.\nIt is situated where heating from conduction from above and convection from below balance out.\nThe lower boundary of the stratosphere can be as high as 20 km (12 miles or 65,000 feet) near the equator\nThe lower boundary of the stratosphere is around 10 km (6.2 miles or about 33,000 feet) above the ground at middle latitudes.'), Document(page_content='The lower boundary of the stratosphere can be as low as 7 km (4 miles or 23,000 feet) at the poles in winter.\nThe base of the stratosphere is therefore lower near the poles because of the low ground temperatures.'), Document(page_content='constant to an average height of 20 km then increases to reach a temperature of -2.5°C at \na height of 47 km, then above 51 km temperature starts to decrease again.  The reason for \nthe increase is the action of ultraviolet radiation in the formation of ozone.  The boundary \nbetween the stratosphere and the next layer, the mesosphere is known as the stratopause.  \nThe average height of the stratopause is 50 km in temperate latitudes.\n• The Tropopause :', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 10}), Document(page_content='isothermal layer\n) up to around 60,000ft, where it then begins to gradually increase again. The lower levels of the stratosphere would therefore be around the region of 36,000 to 50,000ft\nThis means that the lower levels of the stratosphere have decreasing pressure with height (the same occurs all through the atmosphere) but\nthe temperature remains the same (warmer than it would otherwise be)'), Document(page_content="".\nSTRATOSPHERE is a layer of Earth's atmosphere. It is the second layer of the atmosphere as you go upward. In the Stratosphere,\nthe temperature initially remains constant to an average height of 20 km\nthen increases to reach a temperature of -2.5°C at a height of 47 km, then above 51 km temperature starts to decrease again."")]",,3,3.0,True
4,snow,Hail,0,"[{'id': 1, 'answer': 'Hail'}, {'id': 2, 'answer': 'Snow'}, {'id': 3, 'answer': 'Rain'}, {'id': 4, 'answer': 'Drizzle'}]","[Document(page_content='It is difficult to see how the above can account for summer precipitation where the whole of \nthe cloud is at a temperature above zero and the coalescence theory may provide a better \nanswer. This assumes the presence of a range of droplet sizes, the larger falling faster and \nuniting with the smaller until eventually the overweight drop falls out as drizzle or rain.\nPrecipitation Types\n• Drizzle.   Diameter:   0.2 to 0.5 mm\n,   Visibility:   500 to 3000 m\n   Imperceptible impact.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 227}), Document(page_content='.\nFREEZING RAIN. The conditions needed for freezing rain are quite specific.\nGenerally, precipitation first falls from a cloud as snow. If it falls through warmer air before reaching the ground, it can melt and turn to rain droplets. If it then falls through cold air again before hitting the ground,\nthe droplets can become supercooled (which means that they are still falling in liquid state, even though their temperature is below 0ºC).'), Document(page_content='.\nFREEZING RAIN. The conditions needed for freezing rain are quite specific.\nGenerally, precipitation first falls from a cloud as snow. If it falls through warmer air before reaching the ground, it can melt and turn to rain droplets. If it then falls through cold air again before hitting the ground, the droplets can become supercooled (which means that they are still falling in liquid state, even though their temperature is below 0ºC).'), Document(page_content='s.\nFREEZING RAIN. The conditions needed for freezing rain are quite specific.\nGenerally, precipitation first falls from a cloud as snow. If it falls through warmer air before reaching the ground, it can melt and turn to rain droplets. If it then falls through cold air again before hitting the ground, the droplets can become supercooled (which means that they are still falling in liquid state, even though their temperature is below 0ºC).'), Document(page_content='droplets averaging 0.02 mm \nin diameter and the rate of \nfall is negligible. By colliding \nwith other droplets they may \nincrease in size until they are \ntoo heavy to be supported \nby the upcurrents in the \ncloud and they drop out as \nprecipitation.\nThere are currently two theories governing the formation of these precipitation drops.\nFigure 13.13 Precipitation\nFigure 13.12 Effect of Inversions', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 226})]",,1,2.0,False
5,14 000 ft,5 000 ft,0,"[{'id': 1, 'answer': '5 000 ft'}, {'id': 2, 'answer': '14 000 ft'}, {'id': 3, 'answer': '28 000 ft'}, {'id': 4, 'answer': '18 000 ft'}]","[Document(page_content='Pressure altitude = 1450 - 594 =\n856 ft'), Document(page_content='=> 5500 m x 3.28 ft =\n18 000 ft\nAs the altitude increases the pressure of the air decreases. Below follows the ISA atmospheric pressure levels. Each FL corresponds to a specific pressure surface (pressure value):\nFL50 = 850 hPa\nFL100 = 700 hPa\nFL140 = 600 hPa\nFL180 = 500 hPa\nFL240 = 400 hPa\nFL300 = 300 hPa\nFL340 = 250 hPa\nFL390 = 200 hPa\nFL450 = 150 hPa\nIn the ISA atmosphere, the pressure decreases at the following rates:\nMSL 1 hPa = 27 ft (8 m)\n18 000 ft (5 500 m) 1 hPa = 50 ft (15 m)'), Document(page_content='392 feet below the summit. To simplify the calculation use the formula:\ntrue altitude = indicated altitude + (indicated altitude/1000 × ISA deviation × 4) + 27(actual \npressure - pressure setting)', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 139}), Document(page_content='Because the we are flying to the higher-pressure area without changing our altimeter our true altitude will increase by 675 feet. So, we will actually be flying at\n4500 + 675 = 5 175 feet.\nThe question asks for the height of the aircraft above the surface at B (elevation = 690 ft),\n5 175ft – 690ft =\n4 485 feet.'), Document(page_content='the Pressure Altitude is\n405 ft\nlower\nthan 6 000 ft.\n6 000 - 405 =\n5 595 ft, closest answer 5 600 ft')]",,1,2.0,False
6,7 to 10,4 to 7,0,"[{'id': 1, 'answer': '7 to 10'}, {'id': 2, 'answer': 'More than 10'}, {'id': 3, 'answer': 'Less than 4'}, {'id': 4, 'answer': '4 to 7'}]","[Document(page_content='19\n357\n              Other Depressions 19                                                                                   Other Depressions\nFigure 19.17 Cold Air Pool', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 362}), Document(page_content='Movement of the  depression  itself is much more difficult to predict, but it will curve in an \nanticlockwise direction (Northern Hemisphere) at a speed dependent upon isobar spacing.\nGrowth and Decay\nGrowth of a depression to the time of producing the lowest pressure at the centre is about \n4 days. The dying away as the depression fills can take 10 days or more and eventually the \ndepression is absorbed by some other pressure feature.\nFor the British Isles, the time sequence typically involves:', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 337}), Document(page_content='.\nLearning Objective 050.06.02.08.01: Describe the movements of fronts and pressure systems and the life cycle of a mid-latitude depression.'), Document(page_content='A frontal depression is a low-pressure area formed at the boundary between two different air masses. It occurs in mid or higher latitudes. Frontal depressions tend to move quickly from west to east.\nThe whole life cycle takes over three to five days.\nNote: We are aware that the explanation contradicts the correct option. However, the current correct option for this question has been confirmed by several students. We would kindly ask anyone who comes across this question to contact us.'), Document(page_content='17. Air Masses  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 299\n18. Occlusions  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 325\n19. Other Depressions  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 341\n20. Global Climatology  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 365', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 4})]",,4,1.0,False
7,378 ft,378 ft,1,"[{'id': 1, 'answer': '317 ft'}, {'id': 2, 'answer': '378 ft'}, {'id': 3, 'answer': '257 ft'}, {'id': 4, 'answer': '263 ft'}]","[Document(page_content=""The altimeter will indicate the airfield's elevation is the altimeter is set to the correct local QNH value set. In this case the correct local QNH is 993 hPa. However, the altimeter is still set to 1013.2 hPa. With this setting the altimeter indicates 1200 feet.\nThe difference between 1013 hPa and 993 hPa is\n20 hPa\n(1013 - 993), so the altimeter is set at a value 20 hPa too high.""), Document(page_content='As the altimeter setting has been incorrectly set 10 hPa\nlower\nthan the actual QNH, the altimeter will indicate\nlower\nthan the correct airfield elevation (as it believes it is closer to the datum pressure).\n10 hPa x 30 ft per hPa =\n300 ft difference\n.\nThe altimeter indication is airfield elevation (270 ft) - 300 ft =\n-30 ft.'), Document(page_content=""The aircraft has standard pressure (1013 hPa) set in the altimeter subscale, with 1003 hPa as the actual QNH at the airfield, which would read 520 ft if set correctly.\nThe altimeter is not set correctly, and is instead reading out the aircraft's pressure altitude\n. That is what the question is asking,\nwhat is the pressure altitude upon landing\n?""), Document(page_content='If you land at an airport and you have the correct QNH set in your altimeter you would read the airport elevation compared to mean sea level.\nIn this case, you still have the altimeter set to 1003 hPa, the actual QNH is 978.\n1003 - 978 = 25 hPa difference.\n25 x 27 (27 is the amount of feet per 1 hPa close to the ground) =\n675\nfeet\nThe altimeter is set to a higher pressure than actual, therefore, the altimeter will overread.\nWe need to add these 675 feet to the airport elevation of 540 feet\n(540 +\n675\n) =\n1'), Document(page_content='As the altimeter setting has been incorrectly set 20 hPa\nlower\nthan the actual QNH, the altimeter will indicate\nlower\nthan the correct airfield elevation (as it believes it is closer to the datum pressure).\n20 hPa x 30 ft per hPa =\n600 ft difference\n.\nThe altimeter indication is airfield elevation (270 ft) - 600 ft =\n-330 ft.')]",,2,2.0,True
8,katabatic winds,High relative humidity,0,"[{'id': 1, 'answer': 'Katabatic winds'}, {'id': 2, 'answer': 'High relative humidity'}, {'id': 3, 'answer': 'Clear nights'}, {'id': 4, 'answer': 'Absolutely unstable air'}]","[Document(page_content=', making them\nmore likely to exist as orographic fog.\nIn this question, the wind is pushing the cooling air up the\nwestern slope\nof the high ground, so that is where orographic fog is most likely to form first.'), Document(page_content='.\nLearning Objective 050.04.02.03.02: Describe the different possibilities of advection-fog formation (over land, sea and coastal regions).\nADVECTION FOG\nis formed by the advection of warm, moist air over a cold surface – the air mass is cooled from below, often giving rise to an inversion.\nThe surface can be land or sea and it can appear by day or night.\nCONDITIONS NECESSARY FOR ADVECTION FOG TO FORM\nWIND SPEEDS. Up to 15 kt to move the air (may be stronger over sea – up to 20 kt).'), Document(page_content='.\nNote: This is quite similar to question 501937, but with answers that are different enough to warrant a separate question here. We have some\nslightly conflicting feedback about wording for this one\n, so please let us know if you see either question in the exam, and what you can remember about them, thank you!\nRADIATION FOG\n. Caused by\nradiation of the earth’s heat\nat night, and the\nconductive cooling below dew point of the air'), Document(page_content='Radiation Fog\nRadiation fog is caused by radiation of the earth’s heat at night, and the conductive cooling of \nthe air in contact with the ground to below dew point.\nIf there is a light wind, then fog will form, and in calm conditions the result will be the formation \nof dew.\nConditions necessary for radiation fog to form.\n• Clear sky  - to increase the rate of terrestrial radiation.\n•  High relative humidity  - so that a little cooling will be enough to cause saturation and \ncondensation.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 272}), Document(page_content='.\nAccording to the METAR, the conditions at the aerodrome are: very light wind and no significant cloud (NSC). The air temperature is the same as dew point 06/06 (wich means 100 % Relative humidty). Fog is reported.\nThe above described conditions, favour the formation of\nRadiation fog.\nRADIATION FOG. Caused by radiation of the earth’s heat at night, and the conductive cooling below dew point of the air in contact with the ground, in conditions of calm or very light wind and clear skies. Radiation fog occurs')]",,2,1.0,False
9,highest during winter.,highest during winter.,1,"[{'id': 1, 'answer': 'constant through the whole year.'}, {'id': 2, 'answer': 'highest during summer.'}, {'id': 3, 'answer': 'highest during winter.'}, {'id': 4, 'answer': 'highest over the Eastern Atlantic Ocean.'}]","[Document(page_content='s.\nJET STREAMS\ncan be described as a core of strong winds (speeds >/= 60 kts) around 5 to 7 miles above the Earth’s surface, generally blowing from west to east.\nThese occur as a result of strong horizontal temperature contrasts in the atmosphere.\nThe\npolar front\nis the junction between the Ferrell (tropical air mass) and Polar cells (polar air mass). At this low-pressure zone, relatively warm, moist air of the Ferrel Cell runs into relatively cold, dry air of the Polar cell.\n=> The\nPolar Jet stream'), Document(page_content='gradient so the jet streams generally will be parallel to the fronts. The winds are:\nFigure 17.29 The upper winds in a polar front depression', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 321}), Document(page_content='and 65°N in the Northern Hemisphere and around 50°S to 55°S in the Southern Hemisphere.\n•  Polar Night Jets  occur in higher middle latitudes in mid-winter near the top of the \nstratosphere (50 hPa level). Direction is westerly and speeds average 150 kt. Speeds of  \n350 kt have been noted.\n•  Tropical Easterly Jet ( Equatorial Easterly Jet). Strong easterlies that occur in the Northern \nHemisphere’s summer between 10° and 20° North, where the contrast between intensely', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 186}), Document(page_content='Upper Winds\n11\n182\n11 Upper Winds\n-\nFigure 11.7 Polar front jet streams\nFigure 11.8 A vertical cross-section through a jet stream', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 187}), Document(page_content='surface as regards direction, but the speed will be greater.\n•  Behind the cold front. SW. The jet stream will be near the tropopause, parallel to and about \n200 NM behind  the surface position of the cold front in the  warm air.\nFigure 17.30', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 322})]",,3,3.0,True
